method,Avg Time (s),Time Std,Avg Nodes,Nodes Std,Avg Path Length,Path Std,Success Rate
AS,0.000100,0.0003167326080886487,15,6.696599468718765,5.4,1.9550504398153572,100.0%
BFS,0.000000,0.0,18,6.363961030678928,5.2,2.2010098692292237,100.0%
CUS1,0.000000,0.0,58,54.630170744338294,5.8,2.859681411936962,100.0%
CUS2,0.000423,0.0005492777055592697,55,21.958546804781456,5.5,1.90029237516523,100.0%
DFS,0.000000,0.0,13,7.563802688536442,9.8,5.28730134903956,100.0%
GBFS,0.000100,0.0003175619484097513,6,2.368778400591983,5.3,2.1628170930011112,100.0%
